| `Variable`                                | `Description`                                                                                                                                                                                                                                                                                                                                          |
|-------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| SearchTargetMethod                        | Defines how the search for targets will behave.                                                                                                                                                                                                                                                                                                        |
| SearchTargetBaseDirection                 | Uses the camera or character direction to search enemies. "Use Camera Direction" is recommended for 3D projects that you can control the camera. "Use character direction" is recommended for games with fixed camera (when you're not able to move the camera, but can control the character, like top-down games).                                   |
| TargetCollisionTypeFilter                 | Choose the objects types that will respond to the search for targets.                                                                                                                                                                                                                                                                                  |
| TargetClassFilter                         | Can be empty. You can choose a class to filter.                                                                                                                                                                                                                                                                                                        |
| bCheckObstacles                           | If true, will check if there is any obstacle between the player and the target.                                                                                                                                                                                                                                                                        |
| bCanLockOnThroughObstacles                | If true, will allow to lock-on through obstacles, like walls. Notice that the boolean "check obstacles" must be false, otherwise it will lock-on but an unlock will happen afterwards.                                                                                                                                                                 |
| ObstaclesCollisionResponse                | Choose what kind of collision is considered an obstacle.                                                                                                                                                                                                                                                                                               |
| BeforeLockedObstacleCheckingStartLocation | Choose where the obstacle checking starts before locking on.                                                                                                                                                                                                                                                                                           |
| AfterLockedObstacleCheckingStartLocation  | Choose where the obstacle checking starts after locked-on.                                                                                                                                                                                                                                                                                             |
| ToleranceTimeForObstacleDetected          | If an obstacle was found, this variable will be used, in seconds, to start a timer to wait the player goes back to a non-obstacle position. If not found, then the unlock will occur or a new target will be searched.                                                                                                                                 |
| LockOnCaptureRadius                       | Choose the lock-on radius in centimeters. Only targets within this radius will be considered as possible target.                                                                                                                                                                                                                                       |
| bCheckLostDistance                        | If true, checks the distance between the player and the target.                                                                                                                                                                                                                                                                                        |
| LostTargetDistance                        | If "bCheckLostDistance" is true, the target will by lost if its distance is greater than the value of this variable.                                                                                                                                                                                                                                   |
| ToleranceTimeForLostDistance              | If the target distance is greater than "LostTargetDistance", this tolerance time will be used to unlock the current target or search for a new one. So, for example, if the value is 2 seconds, if the target was lost, 2 seconds will be counted and, if the distance does not decrease (be less than "LostTargetDistance"), the target will be lost. |
| LockOnWidgetClass                         | Defines the default lock-on reticle. This reticle will appear on the targets that does not have the "reticle override" component.                                                                                                                                                                                                                      |
| bIsLockedOn                               | Informs the system if the player is locked-on. Private variable. You can access it calling the pure function "isLockedOn".                                                                                                                                                                                                                             |
| CurrentLockedOnTarget                     | Saves the current target reference. If not locked-on, this variable has a null value.                                                                                                                                                                                                                                                                  |
| LockOnPointReference                      | Saves the LockOn helper reference.                                                                                                                                                                                                                                                                                                                     |
| CenteredTolerance                         | If search method contains "centered", this variable is used to filter how close to the center of the screen the target should be to be considered when using the search method "Centered".                                                                                                                                                             |
| bAutofindTarget                           | If true, uses the variable "Autofind Target When" to search a new target after a choosen situation given by the variable.                                                                                                                                                                                                                              |
| AutofindTargetWhen                        | This variable is used to find a new target in a certain situation if the variable "bAutofindTarget" is true.                                                                                                                                                                                                                                           |
| InputDirectionWeight                      | Defines the input direction weight when swapping target.                                                                                                                                                                                                                                                                                               |
| DistanceWeight                            | Defines the distance between the player and target weight when swapping target.                                                                                                                                                                                                                                                                        |
| CharacterRotationType                     | Defines the rotation method.                                                                                                                                                                                                                                                                                                                           |
| bRotatePlayerAtTarget                     | If true, rotates the character to face the target.                                                                                                                                                                                                                                                                                                     |
| AutofindTargetMethod                      | Searches a new target using the search method given by this variable.                                                                                                                                                                                                                                                                                  |
| PlayerRotationInterpolationSpeed          | If the rotation type is different than "use controller desired rotation", this variable is used to interpolate the player rotation after the StartingPlayerRotation curve is finished.                                                                                                                                                                 |
| bRotateCamera                             | If true, rotates the camera while locked-on.                                                                                                                                                                                                                                                                                                           |
| CameraRotationInterpolationSpeed          | If the variable "bRotateCamera" is true, this variable is used as the speed to interpolate the camera rotation.                                                                                                                                                                                                                                        |
| StartingPlayerRotationCurve               | This curve is used to smoothly rotate the player at the target direction when locked-on. Used if the variable "bRotatePlayerAtTarget" is true and if the "PlayerRotationType" is different than "Use controller desired rotation".                                                                                                                     |
| CameraPitchRotationClamp                  | Pitch rotation has a range of [-90, +90]. The closer to 90, the greater is the pitch rotation when looking at the target. Default value: [-50, +50]                                                                                                                                                                                                    |
| bClampPitchRotation                       | If true, clamps the camera pitch rotation using the range of the "CameraPitchRotationClamp" variable.                                                                                                                                                                                                                                                  |
| CameraRotationOffset                      | Adds an offset in the camera rotation if "bRotateCamera" is true. X offers an offset in yaw and Y in pitch.                                                                                                                                                                                                                                            |
| bShowLockOnPreview                        | If true, shows a preview reticle on the best target based on the target settings.                                                                                                                                                                                                                                                                      |
| PreviewUpdateTimer                        | If "bShowLockOnPreview" is true, this value is used to update the preview reticle. The greater this value the less expensive for calculation the preview is, but also less precise.                                                                                                                                                                    |
| bConsiderOffscreenTargets                 | If you want to be able to lock-on onto targets behind the camera (in radius), mark this option as true.                                                                                                                                                                                                                                                |
| LockOnPreviewWidget                       | If "bShowLockOnPreview" is true, this variable defines the preview reticle that will show up on the previewed target. The preview will disappear when locked-on.                                                                                                                                                                                       |
| LockOnPreviewReference                    | Saves the lock-on preview reference. If the preview is not used, this variable wil be null.                                                                                                                                                                                                                                                            |
